BiFlowCache STAT 1288612801, 0, 18, 21889026, 14919843, 6382620, 6382620, 8521777, 12375434, 6523850, 12375434, 36473443, 51486270, 1033377, 566674875, 516221982, 
BiFlowCache STAT 1288613101, 0, 15, 21739270, 14849378, 6327049, 6327049, 8531089, 12417836, 6284647, 12417836, 36473443, 52122966, 1313141, 573001928, 522192102, 
BiFlowCache STAT 1288613401, 0, 15, 22038788, 15093212, 6430445, 6430445, 8666698, 12434831, 6413450, 12434831, 36473443, 52123307, 1171730, 579432369, 528480791, 
BiFlowCache STAT 1288613702, 0, 16, 22039335, 15027500, 6385235, 6385235, 8637827, 12509750, 6310316, 12509750, 36473443, 52702813, 1806251, 585817600, 534921038, 
BiFlowCache STAT 1288614001, 0, 16, 22038585, 15010271, 6405437, 6405437, 8613521, 12528448, 6386739, 12528448, 36473443, 53083532, 2245922, 592223047, 541385437, 
BiFlowCache STAT 1288614301, 0, 16, 22848605, 15613175, 6787537, 6787537, 8814156, 12899186, 6416799, 12899186, 36473443, 53519513, 2284383, 599010577, 547775447, 
BiFlowCache STAT 1288614601, 0, 16, 22428763, 15272360, 6528818, 6528818, 8738380, 12969218, 6458786, 12969218, 36473443, 54155940, 2915843, 605539393, 554299296, 
BiFlowCache STAT 1288614901, 0, 15, 22668670, 15415204, 6532353, 6532353, 8883710, 12766687, 6734884, 12766687, 36473443, 54498381, 3010575, 612071748, 560583942, 
BiFlowCache STAT 1288615201, 0, 15, 22848544, 15569473, 6626483, 6626483, 8963161, 12835310, 6557860, 12835310, 36473443, 55797739, 4096897, 618698233, 566997391, 
BiFlowCache STAT 1288615502, 0, 15, 23718228, 16154947, 7087555, 7087555, 9053231, 13419610, 6503255, 13419610, 36473443, 56985031, 4506954, 625785783, 573307706, 
BiFlowCache STAT 1288615801, 0, 15, 23178658, 15759226, 6708076, 6708076, 9052917, 13509575, 6618111, 13509575, 36473443, 57389890, 4590474, 632493860, 579694444, 
BiFlowCache STAT 1288616101, 0, 16, 23417885, 15922043, 6775986, 6775986, 9146043, 13169586, 7115975, 13169586, 36473443, 57762377, 4603772, 639269848, 586111242, 
BiFlowCache STAT 1288616401, 0, 15, 24107456, 16375764, 7172612, 7172612, 9199226, 13646513, 6695685, 13646513, 36473443, 57762377, 3889948, 646442456, 592570027, 
BiFlowCache STAT 1288616701, 0, 16, 23807770, 16161590, 7052751, 7052751, 9117053, 13912612, 6786652, 13912612, 36473443, 57762377, 3572064, 653495224, 599304910, 
BiFlowCache STAT 1288617001, 0, 16, 24108176, 16361359, 6749845, 6749845, 9611509, 13416454, 7246003, 13416454, 36473443, 57818863, 3436568, 660245065, 605862769, 
BiFlowCache STAT 1288617301, 0, 16, 24857488, 16755042, 7067569, 7067569, 9688813, 13487821, 6996202, 13487821, 36473443, 57818863, 2872257, 667312629, 612366023, 
BiFlowCache STAT 1288617601, 0, 23, 23328145, 15726478, 6601846, 6601846, 9114364, 13313954, 6775713, 13313954, 36473443, 57938556, 3008211, 673914478, 618984133, 
