# CESNET
128.111.52.58/32, planetlab, planet5.cs.ucsb.edu
128.111.52.63/32, planetlab, planet3.cs.ucsb.edu
128.111.52.62/32, planetlab, planet2.cs.ucsb.edu
128.111.52.59/32, planetlab, planet6.cs.ucsb.edu
# Ege University
155.223.52.1/32, planetlab, planetlab1.plab.ege.edu.tr
155.223.52.3/32, planetlab, planetlab2.plab.ege.edu.tr
# Dartmouth
129.170.214.191/32, planetlab, planetlab1.cs.dartmouth.edu
129.170.214.192/32, planetlab, planetlab2.cs.dartmouth.edu
# Kentucky
128.163.142.21/32, planetlab, planetlab2.netlab.uky.edu
128.163.142.20/32, planetlab, planetlab1.netlab.uky.edu
# Hannover L3S
130.75.87.84/32, planetlab, planet2.l3s.uni-hannover.de
130.75.87.83/32, planetlab, planet1.l3s.uni-hannover.de
# LBL
198.128.56.11/32, planetlab, node1.lbnl.nodes.planet-lab.org
198.128.56.12/32, planetlab, node2.lbnl.nodes.planet-lab.org
# HPLabs
204.123.28.56/32, planetlab, pli1-pa-5.hpl.hp.com
204.123.28.57/32, planetlab, pli1-pa-6.hpl.hp.com
204.123.28.55/32, planetlab, pli1-pa-4.hpl.hp.com
# StevensTech
155.246.12.163/32, planetlab, planetlab1.cs.stevens-tech.edu
155.246.12.164/32, planetlab, planetlab2.cs.stevens-tech.edu
# MPISWS
139.19.142.3/32, planetlab, planetlab03.mpi-sws.mpg.de
139.19.142.6/32, planetlab, planetlab06.mpi-sws.mpg.de
139.19.142.1/32, planetlab, planetlab01.mpi-sws.mpg.de
139.19.142.2/32, planetlab, planetlab02.mpi-sws.mpg.de
139.19.142.5/32, planetlab, planetlab05.mpi-sws.mpg.de
139.19.142.4/32, planetlab, planetlab04.mpi-sws.mpg.de
# Polito
130.192.86.29/32, planetlab, planetlab1.polito.it
130.192.86.30/32, planetlab, planetlab2.polito.it
# University of Cyprus
194.42.17.124/32, planetlab, planetlab-2.cs.ucy.ac.cy
194.42.17.123/32, planetlab, planetlab-1.cs.ucy.ac.cy
# University of Nevada, Reno
207.197.40.251/32, planetlab, planetlab2.scsr.nevada.edu
207.197.40.250/32, planetlab, planetlab1.scsr.nevada.edu
# UiO
193.157.115.250/32, planetlab, planetlab1.ifi.uio.no
193.157.115.251/32, planetlab, planetlab2.ifi.uio.no
# Wash
128.208.3.184/32, planetlab, planetlab06.cs.washington.edu
128.208.4.199/32, planetlab, planetlab03.cs.washington.edu
128.208.4.198/32, planetlab, planetlab02.cs.washington.edu
128.208.3.180/32, planetlab, planetlab05.cs.washington.edu
128.208.4.99/32, planetlab, planetlab04.cs.washington.edu
128.208.4.197/32, planetlab, planetlab01.cs.washington.edu
